raw_name,first_name,last_name,f_count,m_count
ABBIE,ABBIE,,50,0
ABBIE ANNE,ABBIE,ANNE,29,0
ABBIE GAIL,ABBIE,GAIL,29,0
ABBIE GAYLE,ABBIE,GAYLE,29,0
ABBIE GRACE,ABBIE,GRACE,29,0
ABBIE J,ABBIE,J,29,0
ABBIE JAI,ABBIE,JAI,29,0
ABBIE JAMES,ABBIE,JAMES,29,0
ABBIE JANE,ABBIE,JANE,29,0
ABBIE JO,ABBIE,JO,29,0
ABBIE LEA,ABBIE,LEA,29,0
ABBIE LEE,ABBIE,LEE,29,0
ABBIE LEI,ABBIE,LEI,29,0
ABBIE LEIGH,ABBIE,LEIGH,29,0
ABBIE LOUISE,ABBIE,LOUISE,29,0
ABBIE LYN,ABBIE,LYN,50,0
ABBIE MAE,ABBIE,MAE,29,0
ABBIE MAI,ABBIE,MAI,29,0
ABBIE MARIE,ABBIE,MARIE,29,0
ABBIE MAY,ABBIE,MAY,29,0
ABBIE RAE,ABBIE,RAE,50,0
ABBIE RAYNE,ABBIE,RAYNE,29,0
ABBIE ROSE,ABBIE,ROSE,29,0
ABBIE VIOLET,ABBIE,VIOLET,29,0
ABBIEGAIL,ABBIEGAIL,,50,0
ABBIEGAILE,ABBIEGAILE,,50,0
ABBIEGALE,ABBIEGALE,,50,0
ABBIEGAYLE,ABBIEGAYLE,,50,0
ABBIELEIGH,ABBIELEIGH,,50,0
ABBIELLE,ABBIELLE,,50,0
ABBIELOUISE,ABBIELOUISE,,29,0
ABBIGAEL,ABBIGAEL,,50,0
ABBIGAIL,ABBIGAIL,,50,0
ABBIGAILE,ABBIGAILE,,50,0
ABBIGAILLE,ABBIGAILLE,,50,0
ABBIGAL,ABBIGAL,,29,0
ABBIGALE,ABBIGALE,,50,0
ABBIGAYL,ABBIGAYL,,50,0
ABBIGAYLE,ABBIGAYLE,,50,0
ABBIGHAIL,ABBIGHAIL,,29,0
ABBIGRACE,ABBIGRACE,,50,0
ABBII,ABBII,,29,0
ABBILENE,ABBILENE,,50,0
ABBILYN,ABBILYN,,29,0
ABBILYNN,ABBILYNN,,50,0
ABBINEY,ABBINEY,,29,0
ABBIOLA,ABBIOLA,,29,0
ABBISALE,ABBISALE,,50,0
ABBO,ABBO,,0,4
ABBONDANZA,ABBONDANZA,,2,0
ABBONDANZIO,ABBONDANZIO,,0,2
ABBONDIO,ABBONDIO,,0,2
ABBOT,ABBOT,,0,50
